001,008$07:4,100$a,100$c,100$q,100$d,245$a,245$b,250$a,260$a,260$b,260$c,300$a,300$c
"T120048","1729","Shaw, William,","lessee of Ravenscroft Gifford.",,,"William Sparrow and others, tenants in possession of divers lands in Flintshire, now in question; plaintiffs in a writ of error in Parliament. William Shaw, gent. Lessee of Ravenscroft Gifford, Esq; and of David Parry, gent. who was plaintiff in an ejectment brought for the said lands; defendant in error. The case of the defendant in error. ",,,"[London,","s.n.,","1729] ","3,[1]p. ","2⁰. "
"T120066","1729","Knight, Richard,",,,"fl. 1729.","William Brayne and Elizabeth his wife, and Henry Mytton, Esq; appellants. William Deakin and Susanna his wife, Mercy Kinersley, Robert Wilcox and Rachel his wife, ... Richard Woolaston and Rebecca his wife, and Richard Knight, respondents. The respondent Richard Knight's case ",,,"[London,",,"1729] ","3,[1]p. ","2⁰. "
"T120170","1733","Rucellai, Bernardo,",,,"1449-1514.","Bernardi Oricellarii de bello italico commentarius, iterum in lucem editus. ",,,"Londini :","Typis Gulielmi Bowyer,","1733. ","XII,110,[2];60p. ","4⁰. "
"T120270","1710",,,,,"The christian pattern:","or, the imitation of Jesus Christ. Vol. II. Being the genuine works of Thomas à Kempis. Containing Four Books, viz. I. The Sighs of a Penitent Soul. II. A short Christian Directory. III. Of Spiritual Exercises. IV. Of Spiritual Entertainments. Translated from the original Latin, and recommended by George Hickes, D.D. To which is prefix'd a large account of the author's life and writings, containing much of the History of those Times, never before set forth in English. ","The second edition revised.","London :","printed for John Nicholson at the King's Arms in Little Britain, Robert Knaplock at the Angel and Crown in St. Paul's Church-Yard, and Jonah Bowyer at the Rose in Ludgate-Street, near the West end of St. Paul's Church,","1710. ","[16],lxxiv,[6],408p.,plates ","8⁰. "
"T120278","1730","Taylor, John,",,,"1704-1766.","Oratio habita coram Academia Cantabrigiensi in templo Beatae Mariae, die solenni martyrii Caroli primi regis, A.D. MDCCXXX. A Joanne Taylor, A. M. Collegii Divi Joannis Evangelistae Socio. ",,,"Londini :","typis Gul. Bowyer, sen. & jun. Prostat venalis apud Gul. Thurlbourn Cantabrigensem, R. Clements Oxoniensem, & bibliopolas Londinenses,","MDCCXXX. [1730] ","28p. ","8⁰. "
"T120383","1762","Anson, George Anson,","Baron,",,"1697-1762.","A voyage round the world,","in the years MDCCXL, I, II, III, IV. By George Anson, Commander in Chief of a Squadron of His Majesty's Ships, sent upon an Expedition to the South-Seas. Compiled from his papers and materials, by Richard Walter, M. A. Chaplain of His Majesty's Ship the Centurion, in that Expedition. With charts of the Southern Part of South America, of Part of the Pacific Ocean, and of the Track of the Centurion round the World.","The tenth edition.","London :","printed for T. Osborne, D. Browne, C. Hitch and L. Hawes, W. Bowyer, A. Millar, H. Wood-Fall, W. Strahan, J. Rivington, R. Baldwin, and S. Crowder and Co,","MDCCLXII. [1762]","[24],536p.,plates :","8⁰."
"T120502","1759","Philopoeus, Carolus.",,,,"Chronographiæ Asiaticæ et Ægyptiacæ specimen.","...",,"[Londini] :","Prostant venales, Londini, apud M. Cooper. Oxonii, apud J. Fletcher : et Cantabrigiæ, apud T. Merrill,","1759.","[4],viii,151,[1]p. ","8⁰."
"T120528","1751",,,,,"A paraphrase and comment upon the epistles and gospels,","appointed to be used in the Church of England on all Sundays and Holy-Days Throughout the Year. Designed to excite Devotion, and to promote the Knowledge and Practice of Sincere Piety and Virtue. ... . Beginning with the First Sunday in Advent. By George Stanhope, D. D. Late Dean of Canterbury. ","The seventh edition.","London :","printed for D. Midwinter, R. Ware, J. and P. Knapton, W. Innys, S. Birt , S. Harding, T. Longman, C. Hitch and L. Hawes, J. Shuckburgh, J. Hodges, B. Barker, C. Bathurst, J. Beecroft, J. and J. Rivington, J. Ward, W. Clarke, and M. Cooper,","MDCCLI. [1751] ","4v. ","8⁰. "
"T120623","1746",,,,,"A philosophical enquiry into the properties of electricity.","In which is contain'd a Confutation of the Solutions which have been hitherto given of it, and the most probable Reason of the late surprizing Experiments. In a letter to a friend.",,"London :","printed for M. Cooper, at the Globe in Pater-Noster-Row,","MDCCXLVI. [1746]","32p. ","8⁰."
"T120630","1717","Mangey, Thomas,",,,"1688-1755.","Practical discourses upon the Lord's Prayer.","Preach'd before the Honourable Society of Lincoln's-Inn. By Thomas Mangey, A. M. Chaplain at Whitehall, and Fellow of St. John's College in Cambridge. Publish'd by the special Order of the Bench. ",,"London :","printed by W. Bowyer for W. Innys at the Prince's Arms in St. Paul's Church-Yard,","1717. ","[8],248p. ","8⁰. "
"T120655","1715","Hickes, George,",,,"1642-1715.","Several letters which passed between Dr. George Hickes, and a popish priest,","upon occasion of a young gentlewoman's departing from the Church of England to that of Rome. To which are added I. The answer of Dr. Bull, late Bishop of St. Davids, to the Bishop of Meaux's Queries. II. Mr. Leslie's answer to the same queries. III. A letter written to an English priest at Rome. With an appendix containing several remarkable papers. ","The second edition corrected.","London :","printed for Richard Sare, at Grays-Inn Gate in Holborn,","1715. ","[48],333,[85]p. ","8⁰. "
"T120661","1732","Nelson, Robert,",,,"1656-1715.","A companion for the festivals and fasts of the Church of England:","with collects and prayers for each solemnity. ","The fifteenth edition.","London :","printed for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, and T. Ward and E. Wicksteed,","MDCCXXXII. [1732] ","[6],xxii,[4],636,[16]p.,plate ","8⁰. "
"T120687","1748","Richer, Henri,",,,"1685-1748.","The life of Mæcenas.","With critical and historical notes. Written in French by M. Richer, translated by R. Schomberg, M.D.",,"London :","printed for A. Millar; and sold by M. Cooper,","1748.","x,290[i.e. 90]p. ","8⁰."
"T120721","1732","Moss, Robert,",,,"1666-1729.","Sermons and discourses on practical subjects:","never before printed. By Robert Moss, ... With a preface, giving some account of the author, by a learned hand. ... ",,"London :","printed by W. B. for Richard Williamson, and William Thurlbourn at Cambridge,","1732. ","4v.,plate :","8⁰. "
"T120731","1725","Boyer, Abel,",,,"1667-1729.","The compleat French-Master,","for ladies and gentlemen. Containing, I. A new methodical French grammar. II. A Well-Digested and copious Vocabulary. III. Familiar Phrases and Dialogues, on all manner of Subjects. IV. Dialogues of Wit and Humour. V. A Taste of the French Poetry. VI. A Collection of French Songs. Vii. A Collection of choice Proverbs, both French and English. Viii. A catalogue of the best French books, fit for a Lady's, or Gentleman's Library. For the Use of His late Highness the Duke of Glocester, By Mr. A. Boyer, Author of the Royal Dictionary, French and English. ","The ninth edition, carefully corrected, and much improved; together with a new preface by the author.","London :","printed for Samuel Ballard, at the Blue Ball, in Little Britain; and Richard Williamson, near Grays-Inn Gate, in Holbourn,","MDCCXXV. [1725] ","412p. :","8⁰. "
"T120759","1741","Boyer, Abel,",,,"1667-1729.","The compleat French master","for ladies and gentlemen. Containing I. A new methodical French grammar. II. A well digested, and copious vocabulary. III. Familiar phrases and dialogues on all manner of subjects. IV. Dialogues of wit and humour. V. A taste of the French poetry. VI. A collection of French songs. Vii. A collection of choice proverbs, both French and English. Viii. A catalogue of the best French books, fit for a lady's, or gentleman's library. For the use of His late Highness the Duke of Glocester. By Mr. A. Boyer, author of the Royal Dictionary, French and English. ","The thirteenth edition, carefully corrected, and much improved.","London :","printed for D. Midwinter, R. Ware, C. Rivington, A. Ward, J. and P. Knapton, T. Longman, R. Hett, C. Hitch, S. Austen, J. Wood, T. Woodward, and J. Pemberton,","MDCCXLI. [1741] ","416p. :","8⁰. "
"T120842","1757","Stebbing, Henry,",,,"1687-1763.","The doctrine of justification by faith in Jesus Christ, stated from the scriptures and homilies of the Church of England. By a clergyman.",,,"London :","printed for L. Davis, and C. Reymers, against Gray's Inn, Holborn,","MDCCLVII. [1757]","30p. ","8⁰."
"T120917","1731","Johnson, John,",,,"1662-1725.","The clergyman's vade-mecum:","containing the canonical codes of the primitive and universal church, translated at large from the original Greek. And the canonical codes of the eastern and western church, ... Part II. The fourth edition. By John Johnson, ... ",,"London :","printed for R. Knaplock; and S. Ballard,","1731. ","xvi,[8],cxv,[5],336,[48]p. ","12⁰. "
"T120923","1730",,,,,"The magistrates and town council of Perth, for themselves and on behalf of the community of said burgh, appellants. The presbytery of Perth, respondets. [sic] The appellants case. ",,,"[London,",,"1730] ","3,[1]p. ","2⁰. "
"T120939","1730","Davis, Henry,","Gent.",,,"Henry Davis, gent. the surviving executor of Dame Margaret Boreman deceased, and brother and heir of Elizabeth Gibbs, his late sister, deceased, appellant. Henry Gibbs, administrator of the said Elizabeth Gibbs, his late wife, deceased, respondent. The appellant's case. ",,,"[London,",,"1730] ","3,[1]p. ","2⁰. "
"T120942","1730","Douglas, Archibald Douglas,","Duke of,",,"1691-1761.","His Grace Archibald Duke of Douglas, appellant. The Right Honourable William Lord Strathnaver, respondent. The appellant's case. ",,,"[London,",,"1730] ","3,[1]p. ","2⁰. "
"T120954","1730","Hopkins, Bertie.",,,,"Bertie Hopkins, gent. and Margaret his wife, appellants.","Isaac Honywood, Esq; executor of Edward Honywood, Esq; deceased, repondent. The appellants case. ",,"[London,","s.n.,","1730] ","4p. ","2⁰. "
"T120964","1730","Moodie, Elizabeth.",,,,"Eliz. Moodie spinster, a pauper, appellant. John Stewart of Burgh, respondent. The appellant's case. ",,,"[London,",,"1730] ","3,[1]p. ","2⁰. "
"T120973","1730","Ross, Robert,",,,"fl. 1730.","Robert Ross, John Gordon, and Alexander Hamilton, appellants. Samuel Close, clerk, and Catharine his wife, Margaret Close and Mary Close, infants by the said Samuel Close their father, respondents. The appellants case. ",,,"[London,",,"1730] ","3,[1]p. ","2⁰. "
"T120976","1730","Smollet, George,",,,"d. 1744.","George Smollet Provost of the Burgh of Dumbarton, James Duncanson and Humphry Collquhonn Baillies of the said Burgh; Giles Mitchel Dean of Guild, James Nicoll Treasurer of the said Burgh; Sir James Smaller, Dongal Campbell of Craignish, John Semple of Dulmoack, James Champbell, Son of William Campbell, late Baillie of Dumbarton, Jomes Houal Merchant; John Irwine, William Curroch, John Glen, William Wilson, and John Campbell, Counsellor of the said Burgh; Archibald Cook Common Clerk, Allan Semple Officer, and John Campbell Master of the Works of the said Burgh of Dumbarton, appellants. William Buntin, David Colquhon. David Weir, Alexander Weir Merchant, Robert Lally, William Traquair, William Buntine younger; John Buchannan, Rober Mcallaster, Alexander Weir Tailor; Robert Mitchel, John Kennedy, William Lange, Patrick Hutchinson, David Hutchinson, John Colquhon, William Mitchel, James Smith, and Alexander Gardiner, respondents. The appellant's case. ",,,"[London,","s.n.,","1730] ","3,[1]p ","2⁰. "
"T120981","1730","Wing, Richard.",,,,"Alexander Small, administrator of the goods and chattels of Mary his late wife deceased, appellant. Richard Wing, the surviving executor of Peter Wing, his late father, deceased, and John Wing, devisees of the said Peter Wing. Respondents. The respondents case. ",,,"[London,","s.n.,","1730] ","4p. ","2⁰. "
"T120987","1730","Gordon, James,",,,"ca. 1678-1734.","James Gordon of Craighlaw, appellant. Patrick Crawfurd the father, and Patrick Crawfurd the son, respondents. The appellant's case. ",,,"[London,",,"1730] ","3,[1]p. ","2⁰. "
"T121009","1775","Tassie, James,",,,"1735-1799.","A catalogue, of impressions in sulphur, of antique and modern gems from which pastes are made and sold, by J. Tassie ...",,,"London :","printed for J. Murray,","1775.","vii,[1],99,[1]p. ","8⁰."
"T121018","1730","Davis, Henry,","Gent.",,,"Henry Davis, gent. the surviving executor of Dame Margaret Boreman deceased, and brother and heir of Elizabeth Gibbs, his late sister, deceased, - - - - - appellant. Henry Gibbs, administrator of the said Elizabeth Gibbs, his late wife, deceased, - - - - respondent. The appellant's case. ",,,"[London,",,"1730] ","4p. ","2⁰. "
"T121137","1737","Boyer, Abel,",,,"1667-1729.","The compleat French master","for ladies and gentlemen. Containing I. A new methodical French grammar. II. A well digested, and copious vocabulary. III. Familiar phrases and dialogues on all manner of subjects. IV. Dialogues of wit and humour. V. A taste of the French poetry. VI. A collection of French songs. VII. A collection of choice proverbs, both French and English. VIII A. catalogue of the best French books, fit for a lady's, or gentleman's library. For the use of His late Highness the Duke of Glocester. By Mr. A. Boyer, author of the Royal Dictionary, French and English. ","The twelfth edition, carefully corrected, and much improved.","London :","printed for Samuel Ballard, at the Blue Ball in Little Britain,","MDCCXXXVII. [1737] ","416p. :","8⁰. "
"T121146","1721","Mangey, Thomas,",,,"1688-1755.","Practical discourses upon the Lord's prayer.","Preach'd before the Honourable Society of Lincoln's-Inn. By Thomas Mangey, LL. D. Prebendary of Durham, and Chaplain to the Lord Bishop of London. Publish'd by the special Order of the Bench. ","The third edition.","London :","printed for William and John Innys at the West End of St. Paul's Church-Yard,","1721. ","[8],248p ","8⁰. "
"T121169","1730","Cheselden, William,",,,"1688-1752.","The anatomy of the human body.","By William Cheselden, Surgeon to Her Majesty, F. R. S. And Surgeon to St. Thomas's-Hospital. ","The fourth edition. With the addition of an appendix, which also is printed separately for the use of those who have the former editions.","London :","printed by W. Bowyer: and sold by J. and J. Knapton, A. Bettesworth, J. Osborn and Tho. Longman, J. Noon, and J. Clark, at the Royal-Exchange,","MDCCXXX. [1730] ","[16],255[i.e.355],[1]p.,plates ","8⁰. "
"T121277","1717","Keill, James,",,,"1673-1719.","Essays on several parts of the animal oeconomy.","By James Keill, M. D. ","The second edition, corrected and enlarged.","London :","printed for George Strahan at the Golden Ball against the Royal Exchange,","1717. ","[2],xxviii,233[i.e.237],[3]p. :","8⁰. "
"T121280","1780","Jodrell, Richard Paul,",,,"1745-1831.","Richardi Pauli Jodrell lusus poetici juveniles,","quos olim alumnus Schol? Etonensis conscripsit.",,"[London?,","s.n.,","1780?]","[2],96p. ","4⁰."
"T121352","1757","Brown, John,",,,"1715-1766.","An estimate of the manners and principles of the times.","By the author of Essays on the characteristics, &c.","The fifth edition.","London :","printed for L. Davis, and C. Reymers, against Grays-Inn-Gate, Holborn; Printers to the Royal Society,","MDCCLVII. [1757]","221,[3]p. ","8⁰."
"T121447","1751","Brown, John,",,,"1715-1766.","Essays on the Characteristics.","By John Brown, M.A.","[The second edition].","London :","printed for C. Davis, against Gray's-Inn-Gate, Holborn,","MDCCLI. [1751]","[4],viii,408p. ","8⁰."
"T121575","1733","Booth, George,","Earl of Warrington.",,,"George Legh, Esq; appellant. The Right Honourable George Earl of Warrington, Henry Legh, junior, gent. and Sir Henry Mainwaring, Bart. respondents. The case of the respondent the Earl of Warrington. ",,,"[London,","s.n.,","1733] ","3,[1]p. ","2⁰. "
"T121585","1733",,,,,"The magistrates and town council of the City of Edinburgh, appellants. Thomas Haddoway and George Arnott, respondents. The appellant's case. ",,,"[London,",,"1733] ","3,[1]p. ","2⁰. "
"T121594","1733","Heron, Patrick,",,,"ca. 1672-1761.","Patrick Heron, of Heron Esq; appellant. His Grace Charles Duke of Queensberry and Dover, respondent. The appellants case. ",,,"[London,",,"1733] ","3,[1]p. ","2⁰. "
"T121610","1733","Paterson, Thomas.",,,,"Thomas Patterson, Esq; appellant. Richard Graham, merchant, respondent. The appellants case. ",,,"[London,",,"1733] ","3,[1]p. ","2⁰. "
"T121616","1733","Annandale, George Van den Bempdé,","Marquis of,",,"1720-1792.","The most Honourable Charlotta Marchioness Dowager of Anandale, and Sir James Johnstoun, Bart. appellants. George Marquis of Anandale, an infant, by William Lord Viscount Vane ... the Right Honourable Charles Earl of Hopton, Henrietta Countess of Hopton, and John Lord Hope, respondents. Case of the respondent the Marquis of Anandale. ",,,"[London,",,"1733] ","3,[1]p. ","2⁰. "
"T121633","1733","Wauchope, James,",,,"d. 1768.","His Grace John Duke of Roxburgh, appellant. James Wauchope of Edmonstoun Esq; respondent. Et é contra. The case of James Wauchope of Edmonstoun respondent in the original, and appellant in the cross-appeal. ",,,"[London,","s.n.,","1733] ","3,[1]p. ","2⁰. "
"T121644","1763","Pliny,","the Younger.",,,"The letters of Pliny the Consul:","with occasional remarks. By William Melmoth, Esq.","The fifth edition, corrected. ..","London :","printed for R. and J. Dodsley, in Pall-Mall,","MDCCLXIII. [1763]","2v.([12],368;[4],371-692,[4]p.) :","8⁰."
"T121677","1754","Rollin, Charles,",,,"1661-1741.","The Roman history from the foundation of Rome to the Battle of Actium : ... By Mr Rollin, ... Translated from the French. In sixteen volumes. ...",,"The second edition. Illustrated with maps coloured, and copper plates.","London :","printed for J. and P. Knapton,","1754.","16v.,plates :","8⁰."
"T121865","1752","Clayton, Robert,",,,"1695-1758.","An essay on spirit,","wherein the doctrine of the Trinity is considered in the light of nature and reason; AS Well AS In the Light in which it was held by the ancient Hebrews: Compared also with the Doctrine of the Old and New Testament. With an inquiry into the sentiments of the primitive fathers of the Church : And The Doctrine of the Trinity as maintained by the Egyptians, Pythagoreans, and Platonists. Together with some remarks on the Athanasian and Nicene creeds.","The second edition, with additions and corrections by the author.","London :","printed: and sold by J. Noon in the Poultry, G. Woodfall at Charing-Cross, and M. Cooper in Pater-Noster-Row,","MDCCLII. [1752]","lxiv,152p. ","8⁰."
"T121880","1777","Worthington, William,",,,"1703-1778.","An impartial enquiry into the case of the gospel demoniacks.","With an appendix, consisting of an essay on scripture demonology. By William Worthington, D.D.",,"London :","printed for J. F. and C. Rivington, in St. Paul's Church-Yard; T. Payne and Son, at the Meuse Gate; and B. White, in Fleet-Street,","MDCCLXXVIII. [1777]","[4],349,[3]p. ","8⁰."
"T122032","1757","Cobden, Edward,",,,"1684-1764.","Discourses and essays, in prose and verse,","by Edward Cobden, D. D. Arch-Deacon of London, and lately Chaplain to his Majesty King George II, above Twenty-Two Years, in which Time most of these Discourses were preached before him. Published chiefly for the Use of his Parishioners.",,"London :","[s.n.],","Printed in the Year MDCCLVII. [1757]","xii,175,170-386,389-455,[1];[2],iv,[1],4-361,[7]p. ","4⁰."
"T122133","1761","Keate, George,",,,"1729-1797.","A short account of the ancient history, present government, and laws of the republic of Geneva.","By George Keate, ...",,"London :","printed for R. and J. Dodsley,","1761.","xv,[5],218p.,plate :","8⁰."
"T122148","1711","Hooper, George,",,,"1640-1727.","De Valentinianorum hæresi conjecturæ,","quibus illius origo ex Ægyptiaca theologia deducitur. ",,"Londini :","sumptibus auctoris, typis Gul. Bowyer,","1711. ","27,[1]p.,plate ","4⁰. "
"T122164","1764","Keate, George,",,,"1729-1797.","The ruins of Netley Abbey.","A poem. By George Keate, Esq; ",,"London :","printed for R. and J. Dodsley, in Pall-Mall,","MDCCLXIV. [1764] ","11,[1]p. ","4⁰."
"T122305","1748","Edwards, Thomas,",,,"1699-1757.","A supplement to Mr. Warburton's edition of Shakespear.","Being the canons of criticism, and glossary, collected from the notes in that celebrated work, and proper to be bound up with it. By another gentleman of Lincoln's Inn.","The second edition.","London :","printed for M. Cooper in Paternoster Row,","MDCCXLVIII. [1748]","64p. ","8⁰."
"T122438","1732","Voltaire,",,,"1694-1778.","Histoire de Charles XII.","Roi de Suède. Par Mr. de V*** ","Seconde edition, révuê & corrigée par l'auteur.","Basle [i.e. London?] :","chez Christophe Revis,","1732. ","2v.,plate :","8⁰. "
"T122580","1723",,,,,"A report from the committee appointed by order of the House of Commons to examine Christopher Layer, and others","... Reported on the first of March, 1722, ... Together with the appendixes, ... ",,"London :","printed for Jacob Tonson, Bernard Lintot, and William Taylor,","1722 [i.e. 1723] ","13pts. ","2⁰. "
"T122689","1729","Solleysel, Jacques de,",,,"1617-1680.","The compleat horseman:","or, perfect farrier. In two parts. Part I. Discovering the surest Marks of the Beauty, Goodness, Faults; and Imperfections of Horses; the best Method of Breeding and Backing of Colts, making their Mouths; Buying, Dieting, and otherwise ordering of Horses. The Art of Shoeing, with the several sorts of Shoes, adapted to the various defects of Bad Feet, and the preservation of Good. The Art of Riding and managing the great Horse, &c. Part II. Contains the Signs and Causes of their Diseases, with the true Method of Curing them. Written in French by the Sieur de Solleysell, Querry to the late King of France, and one of the Royal Academy of Paris. Abridged from the folio done into English by Sir William Hope. With the addition of several excellent receipts, by our best farriers: And Directions to the Buyers and Sellers of Horses. The fourth editio corrected. Illustrated with several copper plates. ",,"London :","printed for J. Walthoe, R. Wilkin, J. and J. Bonwicke, S. Birt, T. Ward and E. Wicksteed; and T Osborn,","1729. ","[16],376,[16]p.,plates ","8⁰. "
"T122693","1734","Anderson, Thomas,",,,"b. ca. 1670.","Thomas Anderson the elder an ideot, by William Chatto, writer in Edinburgh his curator, and Thomas Anderson the younger eldest son of the said Thomas Anderson the elder paupers. Appellants. John Bull and Isabel his wife, William Couts husband ... of Elizabeth his late wife, James Purdie and Margaret his wife, ... Respondents. The appellant's case ",,,"[London,",,"1734] ","3,[1]p. ","2⁰. "
"T122707","1734","Francia, Moses.",,,,"Cuthbert Jackson, surviving executor of Francis Francia, who was the son and surviving executor of Domingo Francia. Appelant. Moses Francia, son and surviving executor of Peter Francia, who was son and surviving executor of George Francia, eldest brother of the said Domingo Francia. Respondent. The respondent's case. ",,,"[London,",,"1734] ","3,[1]p. ","2⁰. "
"T122728","1734","Stafford, Arthur.",,,,"Arthur Stafford Esq; and Susanna his wife, appellants. The Honourable Nassau Powlett Esq; commonly called Lord Nassau Powlett, executor of the honourable major general James Crofts; ... respondents. The appellant's case. ",,,"[London,",,"1734] ","3,[1]p. ","2⁰. "
"T122734","1734","Wauchope, James,",,,"d. 1768.","His Grace John Duke of Roxburgh, appellant. James Wauchope of Edmonstoun Esq; respondent. Et è contra. The case of James Wauchope of Edmonstoun respondent in the original, and appellant in the cross-appeal. ",,,"[London,",,"1734] ","3,[1]p. ","2⁰. "
"T122800","1758","Cicero, Marcus Tullius.",,,,"The tusculan disputations of Marcus Tullius Cicero.","In five books. A new translation. By a gentleman.",,"London :","printed for John Whiston, and Benj. White, in Fleet-Street. Sold also by T. and J. Merrill at Cambridge, and J. Fletcher at Oxford,","MDCCLVIII. [1758]","[2],330p. ","8⁰."
"T122864","1748",,,,,"The christian institutes","or, the sincere word of God. Being a plain and impartial account of the whole faith and duty of a christian. Collected out of the writings of the Old and New Testament: Digested under proper Heads, And Delivered in the Words of Scripture. By the Right Reverend Father in God, Francis late Lord Bishop of Chester.","The seventh edition.","London :","printed for W. Innys in Pater-Noster-Row,","MDCCXLVIII. [1748]","[24],329,[7]p. ","12⁰."
"T122966","1770","Anstey, Christopher,",,,"1724-1805.","The new Bath guide:","or, memoirs of the B-r-d family. In a series of poetical epistles.","The seventh edition.","London :","printed for J. Dodsley, in Pall-Mall; and Fletcher and Hodson, in Cambridge,","MDCCLXX. [1770]","[2],viii,173,[1]p.,plate ","8⁰."
"T123024","1735","Kerr, Christiana.",,,,"His Grace John Duke of Roxburghe, appellant. Christian Kerr of Chatto, Charles Kerr, Esq; her husband, and captain William Elliot. Respondents. The respondents case. ",,,"[London,","s.n.,","1735] ","3,[1]p. ","2⁰. "
"T123026","1734","Kerr, Christiana.",,,,"His Grace John Duke of Roxburgh, appellant. Christian Kerr Lady Chatto, and Charles Kerr, Esq; her husband, respondents. The respondents case. ",,,"[London,","s.n.,","1734] ","3,[1]p. ","2⁰. "
"T123034","1735","Lowther, Robert.",,,,"Robert Lowther Esq; appellant. Michael Raw, John Wilson, Robert Hornby, Henry Salkeld, William Whinfield, John Robinson, ... respondents. The appellant's case. ",,,"[London,",,"1735] ","4p. ","2⁰. "
"T123062","1741",,,,,"Arturi Johnstoni Psalmi Davidici cum argumentis et notis, juxta editionem in usum serenissimi principis. ",,"Editio altera.","Londini :","apud W. Innys, D. Browne, et Paul. Vaillant Bibliop. Typis Gul. Bowyer,","M.DCC.XLI. [1741] ","[2],157,[1]p. ","8⁰. "
"T123067","1764","Sievwright, Norman.",,,,"The hebrew text considered","being observations on the novelty and self-inconsistency of the Masoretic scheme of pointing the sacred Hebrew scriptures : with a reasonable account of the author's plan of reading and constructing the scriptural Hebrew without points. Founded Upon An attentive Consideration of the Genius of the Hebrew Text itself, unpointed as at first written; The obvious Dictates of Nature; The known Usage of Language in general; And The unexceptionable Authority of the Antients. By Norman Sievwright, A. M. A Presbyter of the Church, and Minister to the Authorized Episcopal Congregation in Brechin.",,"London :","printed for A. Millar in the Strand; and C. Wright in Edinburgh,","M,DCC,LXIV. [1764]","xiv,154p. ","8⁰."
"T123132","1730",,,,,"A perpetual commentary on the Revelation of St. John","with a preliminary discourse Concerning The Principles upon which the said Revelation is to be understood. By Charles Daubuz, M. A. Late Vicar of Brotherton in Yorkshire. New modell'd, abridg'd, and render'd plain to the meanest Capacity, by Peter Lancaster, A. M. Vicar of Bowden in Cheshire, and some Time Student of Christ-Church in Oxford. ",,"London :","printed for the author, and sold by W. Innys, at the West End of St. Paul's,","MDCCXXX. [1730] ","[16],144,137-143,[3],147-631,[1]p. ","4⁰. "
"T123142","1773",,,,,"Novum Testamentum domini nostri Jesu Christi: interprete Theodoro Beza.",,,"Londini :","apud J. & F. Rivington; J. Buckland; G. Keith; L. Hawes, W. Clarke & R. Collins; R. Horsfield [and 8 others in London],","1773.","347,[1]p. ","12⁰."
"T123188","1727",,,,,"The christian institutes,","or, the sincere word of God. Being a plain and impartial account of the whole faith and duty of a Christian. Collected out of the writings of the Old and New Testament : Digested under proper Heads, And Delivered in the Words of Scripture. By the Right Reverend Father in God, Francis, Lord Bishop of Chester. ","The fifth edition.","London :","printed by W.B. for W. and J. Innys at the West End of St. Paul's Church-Yard,","1727. ","[24],329,[7]p. ","12⁰. "
"T123345","1717","De Britaine, William.",,,,"Human prudence:","or, the art by which a man may raise himself and his fortune to grandeur. Corrected and very much enlarged. ","The eleventh edition.","London :","printed for Richard Sare, at Grays-Inn-Gate in Holborn,","MDCCXVII. [1717] ","[8],254,[2]p. ","12⁰. "
"T123349","1747",,,,,"The evangelical history and harmony.","By Matthew Pilkington, LL. B. Vicar of Stanton in the County of Derby, And Chaplain to his Grace the Duke of Cleveland.",,"London :","printed by William Bowyer for the author; sold by J. and J. Rivington in St. Paul's Church-Yard, J. Hildyard at York, J. Fletcher at Oxford, W. Thurlbourn and F. Hopkins at Cambridge, G. Ayscough at Nottingham, J. Leake at Bath, and S. Trimer at Derby,","MDCCXLVII. [1747]","vi,[4],vii-xci,[1],245,[1],94p.,plate :","2⁰."
"T123378","1727","Kingston, Evelyn Pierrepont,","Duke of,",,"ca. 1665-1726.","Catalogus bibliothecæ Kingstonianæ.",,,"[London?,","s.n.,","1727?]","[304]p. :","2⁰."
"T123392","1735","Labat,","maître d'armes.",,,"The art of fencing,","or, the use of the small sword. Translated from the French of the late celebrated Monsieur L'Abbat; Master of that Art at the Academy of Toulouse. By Andrew Mahon, Professor of the Small Sword. ",,"London :","printed for Richard Wellington at the Dolphin and Crown, without Temple Bar,","MDCCXXXV. [1735] ","[6],x,133,[3]p.,12plates ","8⁰. "
"T123414","1744","Grey, Richard,",,,"1694-1771.","An answer to Mr. Warburton's Remarks on several occasional reflections,","so far as they concern the preface to a late edition of the Book of Job; In which the Subject and Design of that Divine Poem Are set in a full and clear Light, And some particular Passages in it Occasionally explain'd. In a letter to the reverend author of the remarks. By Richard Grey, D.D.",,"London :","printed for J. Stagg, in Westminster-Hall,","MDCCXLIV. [1744]","129,[3]p. ","8⁰."
"T123434","1736","Heron, Patrick,",,,"ca. 1672-1761.","Patrick Heron of Heron, William Agnew of Castle-Wig, John Stuart of Phisgill, and John McDowall of Freuch, Esquires; ... appellants. The Right Honourable James Earl of Galloway, Duncan Forbes Esq; His Majesty's advocate on behalf of the Crown, Mr. George Douglass advocate, .. respondents. The appellants case. ",,,"[London,",,"1736] ","3,[1]p.,table ","2⁰. "
"T123439","1736","Glaseour, Thomas.",,,,"Thomas Glaseour Esq; - - - - - appellant. Henry Bennett, Esq; Edward Mainwaring, Esq; and Dame Martha his wife, - - - - - - - - - respondents. The appellant's case. ",,,"[London,",,"1736] ","3,[1]p. ","2⁰. "
